x1,x2
5 44 28 32 95 84 10 25 58 30 64 12 33 32 39 91 3 49 ,1.0
84 74 15 28 32 95 34 88 42 46 70 79 38 37 14 65 44 9 58 ,1.0
74 38 8 33 83 61 5 44 40 32 50 74 52 11 65 83 100 13 15 56 ,1.0
19 90 35 21 76 59 83 84 74 38 37 33 15 56 6 76 48 94 14 ,1.0
21 62 82 39 19 24 14 65 44 40 4 5 44 28 25 75 54 24 69 60 ,1.0
47 55 21 63 57 77 33 32 39 48 94 47 36 ,1.0
55 11 81 21 63 87 92 68 52 11 51 53 93 96 37 ,1.0
61 5 65 44 40 4 10 25 15 34 76 59 83 84 10 25 75 80 72 5 ,1.0
93 84 96 37 13 47 52 11 29 59 83 26 33 32 39 91 73 6 64 ,1.0
15 53 93 84 10 25 15 91 26 47 35 ,1.0
94 47 35 21 76 59 83 26 33 15 53 58 ,1.0
83 84 96 37 59 83 84 74 15 98 10 25 83 ,1.0
53 78 54 20 72 60 67 64 96 37 24 69 ,1.0
83 61 5 44 40 37 59 83 84 74 25 83 26 47 55 73 85 57 ,1.0
79 31 17 89 61 86 71 83 26 33 32 39 19 17 14 74 52 11 51 32 ,1.0
13 47 55 72 60 45 85 38 8 32 95 43 44 40 ,1.0
25 83 26 47 55 73 85 18 34 88 7 61 86 ,1.0
69 60 8 99 93 84 74 38 37 59 83 84 23 37 14 65 97 10 25 ,1.0
32 39 10 25 75 42 46 61 5 44 9 19 79 31 54 86 71 ,1.0
15 56 6 76 59 77 99 54 20 79 28 25 15 73 85 18 34 ,1.0
84 10 25 14 74 38 37 14 65 83 84 10 ,1.0
97 72 5 89 74 38 37 14 74 25 58 46 70 36 55 11 29 ,1.0
32 95 34 76 59 83 84 96 84 74 80 88 83 84 74 93 84 ,1.0
20 72 60 8 84 10 25 15 91 31 17 ,1.0
58 46 61 5 44 9 19 24 69 60 8 33 83 26 33 32 95 34 10 25 58 ,1.0
52 11 81 2 60 8 33 75 42 21 76 48 94 46 61 5 36 ,1.0
83 84 23 37 14 97 58 46 70 32 95 ,1.0
46 91 7 61 5 44 28 25 83 84 10 39 19 82 85 57 77 99 48 ,1.0
53 51 93 96 63 57 77 89 61 5 89 74 25 83 26 60 45 11 29 ,1.0
8 33 32 39 19 79 38 37 14 65 83 26 33 47 55 76 59 83 ,1.0
34 27 23 37 14 39 19 90 39 10 25 ,1.0
18 34 9 58 30 46 70 72 5 44 28 25 83 84 96 8 32 95 85 ,1.0
16 91 73 85 57 29 67 64 12 33 83 84 10 ,1.0
4 5 44 40 4 19 24 52 86 9 19 70 84 74 15 ,1.0
79 38 37 59 83 84 74 80 20 72 60 55 64 96 8 99 54 20 ,1.0
72 60 54 24 52 11 20 72 100 97 10 25 15 3 51 35 ,1.0
44 9 58 8 32 50 74 93 69 84 96 63 70 72 5 ,1.0
100 13 98 10 25 83 84 74 15 73 6 17 89 74 25 ,1.0
99 54 86 71 83 84 74 80 88 75 40 4 5 89 74 ,1.0
74 93 96 63 99 18 41 61 4 69 84 10 61 ,1.0
8 99 17 89 74 13 47 52 11 65 74 93 84 23 37 13 39 91 73 ,1.0
59 83 84 10 25 15 28 32 50 81 72 60 ,1.0
74 80 20 74 15 74 13 96 63 2 60 ,1.0
89 74 38 8 84 74 38 37 14 65 97 72 100 31 17 25 83 84 10 ,1.0
5 44 40 4 69 46 70 79 32 77 33 83 84 96 37 24 69 22 ,1.0
51 93 96 8 62 82 85 18 41 39 95 34 56 86 71 ,1.0
74 93 84 74 38 37 14 97 83 26 47 52 11 ,1.0
4 5 89 67 71 83 84 10 71 83 26 47 ,1.0
8 99 93 40 4 5 44 9 19 24 69 84 74 ,1.0
42 69 52 11 29 59 27 90 35 21 63 70 ,1.0
74 25 83 26 47 55 64 12 1 52 11 29 27 ,1.0
99 17 14 74 80 60 45 30 81 45 30 81 21 ,1.0
15 28 25 58 46 61 48 8 33 32 39 10 25 15 28 ,1.0
25 83 84 10 61 86 71 38 37 59 83 84 ,1.0
82 85 38 8 99 18 41 43 44 9 19 24 ,1.0
54 20 31 17 64 12 33 32 39 1 52 34 14 74 38 37 ,1.0
8 84 74 25 15 74 93 40 30 81 72 5 44 ,1.0
11 65 74 38 9 67 21 62 82 85 38 8 33 15 28 25 58 30 92 32 95 ,1.0
97 10 25 75 42 18 34 76 59 83 26 47 52 11 65 60 8 33 32 50 ,1.0
89 74 93 40 37 59 83 61 86 71 2 82 85 38 37 ,1.0
28 25 75 53 93 84 10 25 75 53 93 40 4 ,1.0
40 67 64 12 33 15 74 52 11 65 97 72 5 89 ,1.0
5 44 9 19 24 14 74 13 98 92 32 95 22 55 64 ,1.0
14 74 93 84 74 93 96 37 59 83 84 96 8 33 83 84 10 25 83 ,1.0
43 44 28 25 83 26 33 32 39 19 90 ,1.0
25 83 84 96 37 59 83 84 23 37 59 83 84 10 25 ,1.0
25 87 54 24 14 65 60 47 52 11 51 93 84 10 31 17 14 74 ,1.0
32 95 45 30 81 72 100 97 42 46 33 83 ,1.0
65 83 84 10 25 15 53 51 93 84 74 ,1.0
27 88 75 53 51 53 51 81 45 85 18 41 36 60 54 24 52 ,1.0
52 11 51 35 21 62 82 60 47 55 64 12 33 83 26 ,1.0
21 63 70 84 74 93 84 96 37 14 97 41 39 91 26 47 55 21 63 70 36 ,1.0
55 73 85 67 72 5 65 44 68 19 82 60 8 33 32 ,1.0
5 44 40 37 59 83 84 74 15 98 92 32 39 19 24 ,1.0
89 67 64 96 84 96 37 59 83 26 47 55 72 ,1.0
40 4 5 65 97 72 60 8 99 18 34 14 74 96 ,1.0
28 32 39 48 94 46 33 15 3 49 100 31 17 14 97 41 61 5 44 40 ,1.0
59 83 84 10 25 58 52 11 65 74 15 56 26 47 52 86 44 40 32 ,1.0
14 65 97 10 25 75 42 21 63 57 10 25 ,1.0
21 55 73 85 67 71 83 84 74 21 55 ,1.0
14 65 97 72 60 8 84 10 25 83 85 38 37 ,1.0
4 5 89 74 25 75 54 86 74 25 58 32 77 33 ,1.0
78 28 25 58 46 70 84 10 25 83 71 83 26 33 32 39 ,1.0
96 84 96 8 99 48 94 34 27 90 52 34 56 86 92 51 53 58 46 33 ,1.0
25 58 8 99 15 56 6 5 34 27 90 84 10 25 58 8 84 74 93 40 67 ,1.0
84 74 80 60 54 24 69 65 83 84 74 80 60 45 ,1.0
27 90 62 82 33 83 84 74 80 91 39 ,1.0
54 24 52 86 71 77 33 32 36 55 18 34 14 74 25 75 ,1.0
5 34 9 19 24 27 88 83 84 74 93 84 74 93 96 37 13 39 91 39 ,1.0
8 32 39 1 52 86 74 52 11 51 43 11 29 67 21 62 ,1.0
82 39 94 46 33 15 56 61 4 10 25 58 8 84 10 25 ,1.0
25 58 30 5 44 15 73 89 67 21 63 87 4 5 89 67 ,1.0
58 32 95 85 67 64 96 37 14 97 83 26 47 ,1.0
11 29 59 83 84 74 93 84 96 37 59 83 84 ,1.0
5 44 40 4 5 44 40 4 5 44 9 58 46 61 5 44 9 31 ,1.0
74 38 8 86 71 83 61 86 71 83 15 53 ,1.0
8 62 82 60 67 21 63 87 78 48 94 4 69 60 ,1.0
72 60 8 32 50 38 37 24 69 10 25 83 84 10 ,1.0
37 59 10 25 15 98 92 50 38 8 33 83 ,1.0
54 41 36 55 73 85 57 77 4 69 65 74 93 96 8 99 35 21 55 ,1.0
65 83 84 96 37 13 47 36 60 8 86 ,1.0
89 22 15 3 51 93 84 10 61 4 69 65 60 54 24 14 74 38 8 ,1.0
97 59 83 84 74 80 60 47 35 8 99 89 67 64 96 8 84 10 ,1.0
39 91 42 18 34 9 19 24 52 86 71 83 97 22 55 18 ,1.0
29 96 37 14 74 15 30 70 32 95 29 50 74 93 40 4 69 84 96 ,1.0
60 8 32 39 19 90 21 76 48 94 14 65 83 87 92 ,1.0
21 63 99 69 60 8 99 89 74 38 92 68 52 11 65 44 28 ,1.0
14 20 96 37 24 52 11 29 67 21 63 70 ,1.0
85 67 21 76 48 32 39 10 25 75 40 4 10 25 75 42 46 ,1.0
5 65 60 47 35 21 55 21 76 48 8 99 17 89 74 93 39 ,1.0
93 40 32 50 38 37 59 83 26 47 35 ,1.0
27 14 74 52 11 29 50 59 83 61 4 69 84 23 37 14 74 25 83 84 10 ,1.0
11 29 67 21 76 59 83 26 47 55 18 34 10 31 54 83 26 47 ,1.0
25 83 84 74 25 58 46 70 36 12 79 38 37 14 65 60 45 ,1.0
22 13 47 52 11 51 53 78 39 10 61 5 ,1.0
74 38 9 19 24 27 23 24 14 74 80 91 7 45 85 57 10 25 83 ,1.0
38 37 24 14 97 10 25 83 61 4 5 21 63 87 78 48 ,1.0
96 63 57 77 99 93 40 37 14 65 74 93 96 63 70 ,1.0
38 37 24 52 11 51 43 44 9 31 54 78 48 94 4 69 60 54 ,1.0
97 58 46 33 15 56 22 13 47 55 11 29 59 83 26 33 46 61 ,1.0
17 89 67 21 62 82 60 45 85 18 34 27 90 52 11 65 83 ,1.0
